"X","Brand","Name","Sticker","Year","KM","Fuel","CV","Transmission","One_owner","Location","Length","Width","Height","Weight","Trunk","Tank","Vmax","X0to100","Consumption","Emissions","Keys_num","Extras_num","Price","Antiguitat","Ratio_Pot_Pes","Tram_KM","Preu_per_CV","Depreciacio_Anual","Preu_per_KM"
0,"Opel","Opel Corsa","C",2022,47707,"Diésel",102,"MANUAL","True","Almería",4.06,1.77,1.43,1165,NA,"-",188,10.2,4.1,107,1,5,15700,3,0.0875536480686695,"20k-50k",153.921568627451,5233.33333333333,0.32909216676798
1,"Peugeot","Peugeot Rifter","C",2019,57194,"Diésel",130,"AUTO","True","Almería",4.4,1.85,1.82,1430,1355,"-",179,4.3,114,NA,2,5,24900,6,0.0909090909090909,"50k-100k",191.538461538462,4150,0.435360352484526
2,"Renault","Renault Kadjar","C",2017,66428,"Diésel",110,"MANUAL","False","Barcelona",4.45,1.84,1.61,1380,1478,"-",182,11.9,3.8,99,2,5,17800,8,0.0797101449275362,"50k-100k",161.818181818182,2225,0.267959294273499
3,"Dacia","Dacia Sandero","C",2016,48430,"Gasolina",75,"MANUAL","True","Madrid",4.06,1.73,1.52,941,1200,"-",162,14.5,5.8,130,2,3,9300,9,0.079702444208289,"20k-50k",124,1033.33333333333,0.192029733636176
4,"Nissan","Nissan QASHQAI","C",2020,72209,"Gasolina",160,"AUTO","False","Málaga",4.39,1.81,1.59,1315,1598,"-",198,9.9,6.9,156,2,5,21500,5,0.121673003802281,"50k-100k",134.375,4300,0.297746818263651
5,"BMW","BMW X2","C",2018,123979,"Diésel",150,"AUTO","False","Barcelona",4.36,1.82,1.53,1575,1355,"-",207,9.3,4.5,119,2,5,20900,7,0.0952380952380952,"100k-200k",139.333333333333,2985.71428571429,0.168576936416651
6,"KIA","KIA Stonic","C",2018,125737,"Diésel",110,"MANUAL","False","Murcia",4.14,1.76,1.52,1255,1155,"-",175,11.3,4.2,109,2,5,15690,7,0.0876494023904383,"100k-200k",142.636363636364,2241.42857142857,0.124784271932685
7,"KIA","KIA Stonic","C",2019,130012,"Gasolina",100,"MANUAL","True","Zaragoza",4.14,1.76,1.52,1180,1155,"-",179,10.8,6.1,139,2,5,13500,6,0.0847457627118644,"100k-200k",135,2250,0.103836568932099
8,"Volkswagen","Volkswagen T-Cross","C",2020,27769,"Gasolina",150,"AUTO","False","Madrid",4.11,1.76,1.58,1330,1281,"-",200,8.5,6.6,119,1,5,23800,5,0.112781954887218,"20k-50k",158.666666666667,4760,0.857070834383665
9,"Land Rover","Land Rover Range Rover Evoque","ECO",2019,75212,"Híbrido",200,"AUTO","False","Barcelona",4.37,1.9,1.65,1845,1156,"-",216,8.5,7.7,176,2,5,37900,6,0.10840108401084,"50k-100k",189.5,6316.66666666667,0.503908950699356
10,"KIA","KIA Ceed","C",2020,87537,"Gasolina",100,"MANUAL","False","Madrid",4.31,1.8,1.45,1260,1291,"-",183,11.8,5.5,126,2,5,14450,5,0.0793650793650794,"50k-100k",144.5,2890,0.165073054822532
11,"Skoda","Skoda Octavia","0_EMISIONES",2020,53475,"Híbrido Enchufable",204,"AUTO","False","Murcia",4.69,1.83,1.48,1608,1405,"-",220,7.7,1,79,2,5,26990,5,0.126865671641791,"50k-100k",132.303921568627,5398,0.504721832632071
13,"Hyundai","Hyundai Tucson","C",2018,132777,"Diésel",141,"AUTO","False","Madrid",4.47,1.85,1.66,1425,1503,"-",185,13.7,4.9,129,2,5,20900,7,0.0989473684210526,"100k-200k",148.22695035461,2985.71428571429,0.157406779788668
14,"Mercedes","Mercedes Clase GLC","C",2019,144738,"Diésel",170,"AUTO","False","Huelva",4.66,1.89,1.64,1845,1600,"-",210,8.3,5.9,156,2,5,34300,6,0.0921409214092141,"100k-200k",201.764705882353,5716.66666666667,0.236979922342439
15,"Ford","Ford EcoSport","C",2018,88534,"Gasolina",140,"MANUAL","False","Barcelona",4.1,1.77,1.65,1280,1238,"-",188,11.8,5.2,119,2,5,14990,7,0.109375,"50k-100k",107.071428571429,2141.42857142857,0.16931348408521
16,"Renault","Renault Kadjar","C",2019,57969,"Diésel",115,"MANUAL","False","Murcia",4.49,1.84,1.61,1531,1478,"-",189,11.7,4.3,113,2,5,19250,6,0.0751143043762247,"50k-100k",167.391304347826,3208.33333333333,0.332074039572875
17,"Opel","Opel Corsa","C",2017,119746,"Gasolina",90,"MANUAL","False","Madrid",4.02,1.75,1.48,1163,1120,"-",175,13.2,5.2,120,2,5,9750,8,0.0773860705073087,"100k-200k",108.333333333333,1218.75,0.0814223439613849
18,"Volkswagen","Volkswagen Tiguan","C",2019,44720,"Gasolina",130,"MANUAL","False","Murcia",4.49,1.84,1.65,1520,1655,"-",192,10.2,7,130,2,5,23900,6,0.0855263157894737,"20k-50k",183.846153846154,3983.33333333333,0.534436493738819
19,"Seat","Seat León","C",2015,62090,"Gasolina",110,"MANUAL","False","Barcelona",4.26,1.82,1.46,1213,1210,"-",194,9.9,4.9,114,2,5,12300,10,0.090684253915911,"50k-100k",111.818181818182,1230,0.198099532936061
20,"Honda","Honda HR-V","C",2019,1016600,"Gasolina",130,"MANUAL","True","Valencia",4.33,1.77,1.61,1241,1533,"-",192,10.7,5.8,132,2,5,19990,6,0.104754230459307,"+200k",153.769230769231,3331.66666666667,0.0196635844973441
21,"Dacia","Dacia Duster","ECO",2021,22713,"GLP",100,"MANUAL","True","Sevilla",4.34,1.8,1.69,1339,1478,"-",NA,10.9625,NA,NA,2,5,15490,4,0.0746825989544436,"20k-50k",154.9,3872.5,0.681988288645269
22,"Opel","Opel Crossland X","C",2018,60025,"Gasolina",130,"MANUAL","True","Alicante",4.21,1.83,1.61,1274,1255,"-",206,9.1,5.1,116,2,5,12990,7,0.102040816326531,"50k-100k",99.9230769230769,1855.71428571429,0.216409829237818
23,"KIA","KIA Ceed","B",2013,116528,"Diésel",90,"MANUAL","True","Murcia",4.31,1.78,1.47,1365,1318,"-",170,13.5,4.3,114,2,5,8990,12,0.0659340659340659,"100k-200k",99.8888888888889,749.166666666667,0.0771488397638336
24,"BMW","BMW Serie 1","C",2019,84775,"Diésel",150,"MANUAL","False","Madrid",4.32,1.8,1.43,1475,1200,"-",218,9.3,4.1,108,2,5,24990,6,0.101694915254237,"50k-100k",166.6,4165,0.294780300796225
25,"Seat","Seat Ateca","C",2018,80943,"Diésel",115,"MANUAL","False","Madrid",4.36,1.84,1.62,1428,NA,"-",184,11.5,4.6,120,2,5,21490,7,0.0805322128851541,"50k-100k",186.869565217391,3070,0.265495472122358
26,"Volkswagen","Volkswagen Golf","C",2016,94367,"Gasolina",125,"AUTO","True","Madrid",4.26,1.8,1.45,1249,1270,"-",204,9.1,5,116,2,5,16500,9,0.100080064051241,"50k-100k",132,1833.33333333333,0.174849258745112
27,"Audi","Audi A3","C",2018,90695,"Diésel",116,"AUTO","False","Murcia",4.31,1.79,1.43,1360,1220,"-",202,10.2,4,106,2,5,18200,7,0.0852941176470588,"50k-100k",156.896551724138,2600,0.200672583935167
28,"Nissan","Nissan QASHQAI","ECO",2022,36017,"Híbrido",158,"AUTO","True","Barcelona",4.43,1.84,1.63,1570,1593,"-",198,9.9,6.4,144,1,5,21652,3,0.100636942675159,"20k-50k",137.037974683544,7217.33333333333,0.60116056306744
29,"Mazda","Mazda CX-30","ECO",2020,61031,"Gasolina",122,"AUTO","False","Sevilla",4.39,1.8,1.54,1347,NA,"-",186,11.2,6.6,151,2,5,22790,5,0.0905716406829993,"50k-100k",186.803278688525,4558,0.373416788189609
30,"Hyundai","Hyundai i10","C",2020,57328,"Gasolina",84,"AUTO","False","Madrid",3.67,1.68,1.48,935,1050,"-",171,15.8,4.5,103,2,5,15200,5,0.0898395721925134,"50k-100k",180.952380952381,3040,0.265140943343567
31,"Dacia","Dacia Duster","C",2020,70586,"Gasolina",130,"MANUAL","False","Murcia",4.34,1.8,1.69,1234,1478,"-",191,11.1,6.1,134,2,5,16990,5,0.105348460291734,"50k-100k",130.692307692308,3398,0.240699288810812
32,"Volvo","Volvo XC40","C",2019,51348,"Gasolina",156,"MANUAL","True","Cádiz",4.43,1.86,1.65,1645,1308,"-",200,9.4,6.2,144,2,5,24990,6,0.0948328267477204,"50k-100k",160.192307692308,4165,0.486679130638
33,"Peugeot","Peugeot Rifter","C",2021,22208,"Diésel",130,"MANUAL","False","Alicante",4.4,1.85,1.82,1430,1355,"-",184,5.5,145,NA,2,5,25590,4,0.0909090909090909,"20k-50k",196.846153846154,6397.5,1.15228746397695
34,"Citroën","Citroën Grand C4 Picasso","C",2017,160453,"Diésel",120,"MANUAL","True","Barcelona",4.6,1.83,1.64,1347,NA,"-",189,12.1,4,106,2,5,12950,8,0.089086859688196,"100k-200k",107.916666666667,1618.75,0.0807089926645186
35,"Seat","Seat Arona","C",2021,7307,"Gasolina",110,"AUTO","False","Zaragoza",4.15,1.78,1.54,1233,NA,"-",190,10.1,4.8,134,2,5,19590,4,0.089213300892133,"0-20k",178.090909090909,4897.5,2.68099083071028
36,"Ford","Ford Focus","C",2016,92760,"Gasolina",125,"MANUAL","False","Barcelona",4.36,1.82,1.47,1280,1215,"-",193,11,4.7,108,2,5,10200,9,0.09765625,"50k-100k",81.6,1133.33333333333,0.109961190168176
37,"Nissan","Nissan QASHQAI","B",2011,140792,"Diésel",150,"MANUAL","False","Sevilla",4.32,1.78,1.62,1520,1513,"-",191,10.5,6.6,174,2,5,11900,14,0.0986842105263158,"100k-200k",79.3333333333333,850,0.0845218478322632
38,"Renault","Renault Trafic","C",2016,157121,"Diésel",125,"MANUAL","False","Girona",5,1.96,2.5,1822,NA,"-",174,6.8,175,NA,2,5,16490,9,0.0686059275521405,"100k-200k",131.92,1832.22222222222,0.104950961360989
39,"Renault","Renault Clio","C",2018,89798,"Gasolina",90,"MANUAL","True","Madrid",4.06,1.73,1.45,1090,1146,"-",178,12.1,5,113,2,5,13500,7,0.0825688073394495,"50k-100k",150,1928.57142857143,0.15033742399608
40,"Volkswagen","Volkswagen Polo","C",2018,103562,"Gasolina",115,"AUTO","False","Madrid",4.05,1.75,1.46,1180,1125,"-",187,10.8,4.8,109,2,5,15900,7,0.0974576271186441,"100k-200k",138.260869565217,2271.42857142857,0.15353121801433
41,"Dacia","Dacia Lodgy","ECO",2019,62759,"GLP",102,"MANUAL","True","Barcelona",4.52,1.77,1.68,1170,2617,"-",172,11.7,8.5,145,2,5,15750,6,0.0871794871794872,"50k-100k",154.411764705882,2625,0.250960021670199
